834,834,834,834,834,834,834,834,834,834,,834,,832
53,IHS_ABJ_1595H_New,UC-215901,Abuja,Upgrade/Colo,MTN,5G,05-Sep-22,Q3 '22,BOQ Approved and Power Upgrade Not Required,BOQ Approved and Power Upgrade Not Required,NQA,NQA,BOLAMARK ENGINEERING LIMITED
54,IHS_EDO_0981A,CO-216524,Asaba,Upgrade/Colo,9Mobile,2G,10-Sep-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,EZZENTIAL GLOBAL SERVICES
55,IHS_LAG_1745A,CO-215753,Lagos,Upgrade/Colo,9Mobile,2G,11-Oct-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,LAFRED ENGINEERING COMPANY LIMITED
56,IHS_LAG_2004A,CO-215755,Lagos,Upgrade/Colo,9Mobile,2G,29-Sep-22,Q3 '22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,NUVERAS TECHNOLOGIES LIMITED
57,IHS_OGU_0234H,CO-215396,Lagos,Upgrade/Colo,9Mobile,2G,10-Sep-22,Q3 '22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,IENGINEERING NIGERIA LIMITED
58,IHS_PLA_0783A,CO-222456,Abuja,Upgrade/Colo,9Mobile,2G,05-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,FARALIM GLOBAL SERVICES NIGERIA LIMITED
59,IHS_ABI_1275B,CO-222459,Enugu,Upgrade/Colo,9Mobile,2G,13-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,SNOWVIEW SUPPORT SERVICE LIMITED
60,IHS_ABI_0865A,CO-222464,Enugu,Upgrade/Colo,9Mobile,2G,13-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,EKM
61,IHS_BNU_0964A,CO-222085,Enugu,Upgrade/Colo,9Mobile,2G,14-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,EKM
62,IHS_IMO_0933A,UC-219609,Enugu,Upgrade/Colo,9Mobile,3G,22-Sep-22,Q3 '22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,IHS
63,IHS_ENG_0772A,CO-217083,Enugu,Upgrade/Colo,9Mobile,3G,26-Sep-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,EZZENTIAL GLOBAL SERVICES
64,IHS_LAG_1772A,CO-226690,Lagos,Upgrade/Colo,Smile,LTE,15-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Bedrock Multifunctions Limited
65,IHS_ENG_0988A,CO-212876,Enugu,Upgrade/Colo,Airtel,2G,02-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,NUVERAS TECHNOLOGIES LIMITED
66,IHS_LAG_1934A,CO-217095,Lagos,Upgrade/Colo,Airtel,2G,23-Sep-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,NUVERAS TECHNOLOGIES LIMITED
