834,834,834,834,834,834,834,834,834,834,,834,,832
367,IHS_IJB_0014B,CO-231247,Lagos,Upgrade/Colo,Airtel,2G,10-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,LAFRED ENGINEERING COMPANY LIMITED
368,IHS_IJB_0014B,UC-231293,Lagos,Upgrade/Colo,Airtel,3G,10-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
369,IHS_OGN_0900A,CO-231261,Lagos,Upgrade/Colo,Airtel,2G,15-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,EKM
370,IHS_OGN_0900A,UC-231302,Lagos,Upgrade/Colo,Airtel,3G,15-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
371,IHS_OGN_1247A,CO-231248,Lagos,Upgrade/Colo,Airtel,2G,15-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,EKM
372,IHS_OGN_1247A,UC-231294,Lagos,Upgrade/Colo,Airtel,3G,15-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
373,IHS_OYO_0988A,CO-231262,Ibadan,Upgrade/Colo,Airtel,2G,9-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,NUVERAS TECHNOLOGIES LIMITED
374,IHS_OYO_0988A,UC-231303,Ibadan,Upgrade/Colo,Airtel,3G,9-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
375,IHS_OYO_1207H,CO-231242,Ibadan,Upgrade/Colo,Airtel,2G,9-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,NUVERAS TECHNOLOGIES LIMITED
376,IHS_OYO_1207H,UC-231279,Ibadan,Upgrade/Colo,Airtel,3G,9-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
377,IHS_PHC_1001B,CO-231270,PHC,Upgrade/Colo,Airtel,2G,14-Dec-22,Q4'22,TLA Report and Power Analysis Submitted,BOQ Approved and Power Upgrade Not Required,SBC,NQA,TELENOETICA LIMITED
378,IHS_PHC_1001B,UC-231297,PHC,Upgrade/Colo,Airtel,3G,14-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,IHS
379,IHS_PHC_0806C,UC-229398,PHC,Upgrade/Colo,MTN,5G,11-Dec-22,Q4'22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,CONNIG TECHNOSERVE LIMITED
380,IHS_PHC_0689C,UC-229391,PHC,Upgrade/Colo,MTN,5G,15-Dec-22,Q4'22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,CONNIG TECHNOSERVE LIMITED
381,IHS_ENG_1109A,UC-229394,Enugu,Upgrade/Colo,MTN,5G,9-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,EZZENTIAL GLOBAL SERVICES
382,IHS_LAG_1600A,CO-231212,Lagos,Upgrade/Colo,Cyberspace,LTE/MW,9-Dec-22,Q4'22,Civil Work Completed and Power Not Required,BOQ Approved and Power Upgrade Not Required,RRM,NQA,EKM
383,IHS_LAG_0189V,CO-230793,Lagos,Upgrade/Colo,9Mobile,2G,10-Dec-22,Q4'22,Civil Work Completed and Power Not Required,BOQ Approved and Power Upgrade Not Required,RRM,NQA,NUVERAS TECHNOLOGIES LIMITED
384,IHS_LAG_3767H,UC-221503,Lagos,Upgrade/Colo,MTN,TX Mod,10-Dec-22,Q4'22,Upgrade Initiated,Upgrade Initiated,HOR,Head Of Region,0
385,IHS_RIV_0848A,UC-229186,PHC,Upgrade/Colo,MTN,NAMA EBU,11-Dec-22,Q4'22,Upgrade Initiated,Upgrade Initiated,HOR,Head Of Region,0
386,IHS_AKW_0935A,CO-231014,PHC,Upgrade/Colo,9Mobile,9Mobile,11-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,0,TELENOETICA LIMITED
387,IHS_PHC_0723C,CO-231384,PHC,Upgrade/Colo,Smile,LTE,11-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,SNOWVIEW SUPPORT SERVICE LIMITED
388,IHS_PHC_0677C,UC-232382,PHC,Upgrade/Colo,Airtel,LTE,11-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,Bedrock Multifunctions Limited
389,IHS_LAG_1357A,UC-214123,Lagos,Upgrade/Colo,Airtel,L2600,12-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,GLOVTEX TELECOMMUNICATION LIMITED
390,IHS_LAG_1438A,CO-231323,Lagos,Upgrade/Colo,Cyberspace,LTE/MW,12-Dec-22,Q4'22,Civil Work Completed and Power Not Required,BOQ Approved and Power Upgrade Not Required,RRM,NQA,EKM
391,IHS_ABJ_1146A,CO-231324,Abuja,Upgrade/Colo,Cyberspace,Relocation,13-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,JARUS IMPERIAL NIGERIA LIMITED
392,IHS_JIG_0018B,UC-232415,Kano,Upgrade/Colo,Airtel,MW,14-Dec-22,Q4'22,Upgrade Initiated,Upgrade Initiated,HOR,Head Of Region,0
393,IHS_KAN_0001B,UC-232388,Kano,Upgrade/Colo,Airtel,L2600,14-Dec-22,Q4'22,Upgrade Initiated,Upgrade Initiated,HOR,Head Of Region,0
394,IHS_EKI_0737A,CO-230856,Ibadan,Upgrade/Colo,9Mobile,2G,14-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
395,IHS_EKI_0737A,UC-230855,Ibadan,Upgrade/Colo,9Mobile,3G,14-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
396,IHS_ABJ_1366C,UC-232369,Abuja,Upgrade/Colo,Airtel,L2600,14-Dec-22,Q4'22,Upgrade Initiated,Upgrade Initiated,HOR,Head Of Region,0
397,IHS_NIG_0950A,UC-232362,Abuja,Upgrade/Colo,Airtel,L2600,14-Dec-22,Q4'22,Upgrade Initiated,Upgrade Initiated,HOR,Head Of Region,0
398,IHS_ABJ_1039A,UC-151580,Abuja,Upgrade/Colo,Airtel,L2600,14-Dec-22,Q4'22,BOQ Approved and Power Upgrade Not Required,BOQ Approved and Power Upgrade Not Required,NQA,NQA,IHS
399,IHS_NAS_0839A,UC-232380,Abuja,Upgrade/Colo,Airtel,L2600,14-Dec-22,Q4'22,Upgrade Initiated,Upgrade Initiated,HOR,Head Of Region,0
400,IHS_NAS_0847A,UC-232381,Abuja,Upgrade/Colo,Airtel,L2600,14-Dec-22,Q4'22,Upgrade Initiated,Upgrade Initiated,HOR,Head Of Region,0
401,IHS_ABJ_1811B,UC-232360,Abuja,Upgrade/Colo,Airtel,L2600,14-Dec-22,Q4'22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,0
402,IHS_ABJ_0020B,UC-232391,Abuja,Upgrade/Colo,Airtel,L2600,15-Dec-22,Q4'22,Upgrade Initiated,Upgrade Initiated,HOR,Head Of Region,0
403,IHS_PHC_0707C,CO-232335,Abuja,Upgrade/Colo,Airtel,2G,15-Dec-22,Q4'22,Contractor Approved,Site Engineer Assigned,RRM,SBC,Bedrock Multifunctions Limited
404,IHS_PHC_0707C,UC-232337,Abuja,Upgrade/Colo,Airtel,3G,15-Dec-22,Q4'22,Contractor Approved,TSS Completed,RRM,PMO - TLA,IHS
405,IHS_EKI_0729A,CO-230853,Ibadan,Upgrade/Colo,9Mobile,2G,17-Dec-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,EKM
406,IHS_OGN_0994A,UC-202006,Lagos,Upgrade/Colo,MTN,L8,22-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,BOLAMARK ENGINEERING LIMITED
407,IHS_OGN_0994A,UC-203824,Lagos,Upgrade/Colo,MTN,L26,22-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,BOLAMARK ENGINEERING LIMITED
408,IHS_OGN_0751E,UC-208950,Lagos,Upgrade/Colo,Airtel,MW,20-Dec-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,EZZENTIAL GLOBAL SERVICES
409,IHS_OGU_0203H,UC-216903,Lagos,Upgrade/Colo,Airtel,L26,23-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,LAFRED ENGINEERING COMPANY LIMITED
410,IHS_LAG_4201B,UC-217041,Lagos,Upgrade/Colo,Airtel,MW,22-Dec-22,Q4'22,Civil Work Completed and Power Pending,BOQ Approved and Power Upgrade Not Required,RRM,NQA,EKM
411,IHS_DEL_1171A,CO-220578,Asaba,Upgrade/Colo,Airtel,2G,21-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,CONNIG TECHNOSERVE LIMITED
412,IHS_DEL_1171A,UC-220588,Asaba,Upgrade/Colo,Airtel,3G,21-Dec-22,Q4'22,RFI Failed,RFI Failed,RRM,Regional Rollout Manager,IHS
413,IHS_PHC_0205B,CO-220581,PHC,Upgrade/Colo,Airtel,2G,21-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,CENTDOOR LIMITED
414,IHS_PHC_0205B,UC-220590,PHC,Upgrade/Colo,Airtel,3G,21-Dec-22,Q4'22,TLA Report and Power Analysis Submitted,BOQ Approved and Power Upgrade Not Required,SBC,NQA,IHS
415,IHS_LAG_1784A,UC-221246,Lagos,Upgrade/Colo,Airtel,MW,22-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
416,IHS_YOB_0747A,UC-219529,Kano,Upgrade/Colo,MTN,Aviat_Swap,19-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,FARALIM GLOBAL SERVICES NIGERIA LIMITED
417,IHS_BNU_0705E,CO-227928,Enugu,Upgrade/Colo,MTN,2G,21-Dec-22,Q4'22,TLA Failed and Power Analysis Submitted,TLA Failed and Power Analysis Submitted,Infra Manager (PMO),Infra Manager,SNOWVIEW SUPPORT SERVICE LIMITED
418,IHS_BNU_0705E,UC-228189,Enugu,Upgrade/Colo,MTN,3G,21-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,SNOWVIEW SUPPORT SERVICE LIMITED
419,IHS_BNU_0705E,UC-228200,Enugu,Upgrade/Colo,MTN,4G,21-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,SNOWVIEW SUPPORT SERVICE LIMITED
420,IHS_ABJ_1079A,UC-226989,Abuja,Upgrade/Colo,MTN,5G,19-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,TOTAL SECURE NIGERIA LIMITED
421,IHS_LAG_1196A,UC-226901,Lagos,Upgrade/Colo,MTN,NFE_Growth,20-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,TELENOETICA LIMITED
422,IHS_LAG_2627C,UC-226855,Lagos,Upgrade/Colo,MTN,NFE_Growth,20-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,BOLAMARK ENGINEERING LIMITED
423,IHS_LAG_1985A,UC-226852,Lagos,Upgrade/Colo,MTN,NFE_Growth,22-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,LAFRED ENGINEERING COMPANY LIMITED
424,IHS_LAG_1913A,UC-226841,Lagos,Upgrade/Colo,MTN,NFE_Growth,22-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,EKM
425,IHS_LAG_1764A,UC-226818,Lagos,Upgrade/Colo,MTN,NFE_Growth,22-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Bedrock Multifunctions Limited
426,IHS_LAG_0971E,UC-226776,Lagos,Upgrade/Colo,MTN,NFE_Growth,22-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Bedrock Multifunctions Limited
427,IHS_ABJ_1615H,UC-219848,Abuja,Upgrade/Colo,MTN,NFE_Growth,19-Dec-22,Q4'22,BOQ Approved and Power Upgrade Not Required,BOQ Approved and Power Upgrade Not Required,NQA,NQA,0
428,IHS_ZAM_0728A,UC-226735,Kano,Upgrade/Colo,MTN,CTN,19-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
429,IHS_OYO_1055A,CO-229215,Ibadan,Upgrade/Colo,Airtel,2G,20-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,EKM
430,IHS_OYO_1055A,UC-229239,Ibadan,Upgrade/Colo,Airtel,3G,20-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
431,IHS_EDO_0905A,UC-227528,Asaba,Upgrade/Colo,MTN,L26,21-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
432,IHS_BEN_0729E,UC-227513,Asaba,Upgrade/Colo,MTN,L26,21-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
433,IHS_ILO_0061C,UC-227488,Ibadan,Upgrade/Colo,MTN,L26,19-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
434,IHS_OYO_0945A,UC-227539,Ibadan,Upgrade/Colo,MTN,L7,19-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
435,IHS_EDO_1101C,UC-227515,Asaba,Upgrade/Colo,MTN,L7,21-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
436,IHS_KWA_0800A,UC-227532,Ibadan,Upgrade/Colo,MTN,L7,19-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
437,IHS_EDO_1230B,UC-227514,Asaba,Upgrade/Colo,MTN,L7,21-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
438,IHS_EDO_1061C,UC-187854,Asaba,Upgrade/Colo,MTN,L8,21-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
439,IHS_EDO_1061C,UC-194074,Asaba,Upgrade/Colo,MTN,L18,21-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
440,IHS_EDO_1061C,UC-227437,Asaba,Upgrade/Colo,MTN,L26,21-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
441,IHS_KWA_0739A,UC-182337,Ibadan,Upgrade/Colo,MTN,L8,19-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,IHS
442,IHS_KWA_0739A,UC-171421,Ibadan,Upgrade/Colo,MTN,L18,19-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,0
443,IHS_KWA_0739A,UC-227468,Ibadan,Upgrade/Colo,MTN,L26,19-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
444,IHS_EDO_0756A,UC-182331,Asaba,Upgrade/Colo,MTN,L8,21-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
445,IHS_EDO_0756A,UC-186746,Asaba,Upgrade/Colo,MTN,L18,21-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,0
446,IHS_EDO_0756A,UC-227463,Asaba,Upgrade/Colo,MTN,L26,21-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
447,IHS_DEL_0886A,UC-105580,Asaba,Upgrade/Colo,MTN,L8,21-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
448,IHS_DEL_0886A,UC-186364,Asaba,Upgrade/Colo,MTN,L18,21-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,0
449,IHS_DEL_0886A,UC-227462,Asaba,Upgrade/Colo,MTN,L26,21-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
450,IHS_RIV_1283A,UC-227424,PHC,Upgrade/Colo,MTN,L7,20-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
451,IHS_RIV_1283A,UC-211592,PHC,Upgrade/Colo,MTN,L8,20-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
452,IHS_RIV_1283A,UC-227444,PHC,Upgrade/Colo,MTN,L18,20-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
453,IHS_RIV_1283A,UC-132410,PHC,Upgrade/Colo,MTN,L26,20-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,TELENOETICA LIMITED
454,IHS_ENG_0767A,UC-202487,Enugu,Upgrade/Colo,MTN,L8,20-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,IHS
455,IHS_ENG_0767A,UC-203508,Enugu,Upgrade/Colo,MTN,L26,20-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,IHS
456,IHS_ABJ_0044B,CO-229022,Abuja,Upgrade/Colo,MTN,2G,19-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,TOTAL SECURE NIGERIA LIMITED
457,IHS_ABJ_0044B,UC-229037,Abuja,Upgrade/Colo,MTN,3G,19-Dec-22,Q4'22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,IHS
458,IHS_OYO_1043A,CO-230518,Ibadan,Upgrade/Colo,Airtel,2G,20-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,NUVERAS TECHNOLOGIES LIMITED
459,IHS_OYO_1043A,UC-230526,Ibadan,Upgrade/Colo,Airtel,3G,20-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
460,IHS_ENG_0840A,UC-229402,Enugu,Upgrade/Colo,MTN,5G,23-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,EZZENTIAL GLOBAL SERVICES
461,IHS_ENU_0102H,UC-229414,Enugu,Upgrade/Colo,MTN,5G,20-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Bedrock Multifunctions Limited
462,IHS_AKW_1036C,CO-234340,PHC,Upgrade/Colo,Airtel,2G,23-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,CENTDOOR LIMITED
463,IHS_AKW_1036C,UC-234349,PHC,Upgrade/Colo,Airtel,3G,23-Dec-22,Q4'22,RFI Completed,RFI Acknowledged by Rollout Project Manager,RPM,KAM,IHS
464,IHS_RIV_0999A,CO-234342,PHC,Upgrade/Colo,Airtel,2G,20-Dec-22,Q4'22,Colocation Process Initiated,Colocation Process Initiated,HOR,Head Of Region,0
465,IHS_RIV_0999A,UC-234353,PHC,Upgrade/Colo,Airtel,3G,20-Dec-22,Q4'22,Upgrade Initiated,Upgrade Initiated,HOR,Head Of Region,0
466,IHS_OGN_1314A,CO-234339,Lagos,Upgrade/Colo,Airtel,2G,20-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,LAFRED ENGINEERING COMPANY LIMITED
467,IHS_OGN_1314A,UC-234352,Lagos,Upgrade/Colo,Airtel,3G,20-Dec-22,Q4'22,Civil Work Completed and Power Not Required,RFI Acknowledged by Rollout Project Manager,RRM,KAM,IHS
468,IHS_KAD_1047A,CO-234343,Abuja,Upgrade/Colo,Airtel,2G,19-Dec-22,Q4'22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,JARUS IMPERIAL NIGERIA LIMITED
469,IHS_KAD_1047A,UC-234354,Abuja,Upgrade/Colo,Airtel,3G,19-Dec-22,Q4'22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,0
470,IHS_SOK_0764A,UC-212732,Kano,Upgrade/Colo,MTN,TX Mod,19-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
471,IHS_AKW_0893A,CO-234559,PHC,Upgrade/Colo,9Mobile,2G,20-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,CENTDOOR LIMITED
472,IHS_OSU_0834A,UC-234587,Ibadan,Upgrade/Colo,MTN,Huawei_MW,21-Dec-22,Q4'22,Upgrade Initiated,Upgrade Initiated,HOR,Head Of Region,0
473,IHS_KAN_0804A,UC-232003,Kano,Upgrade/Colo,MTN,5G,22-Dec-22,Q4'22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,0
474,IHS_KAN_0810A,UC-232005,Kano,Upgrade/Colo,MTN,5G,22-Dec-22,Q4'22,TSS Completed,BOQ Approved and Power Upgrade Not Required,PMO - TLA,NQA,0
475,IHS_KAN_1025A,UC-231554,Kano,Upgrade/Colo,MTN,5G,22-Dec-22,Q4'22,TSS Completed,BOQ Approved and Power Upgrade Not Required,PMO - TLA,NQA,0
476,IHS_BNU_0806A,UC-234326,Enugu,Upgrade/Colo,MTN,TX,22-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,NUVERAS TECHNOLOGIES LIMITED
477,IHS_LAG_1774A,UC-210993,Lagos,Upgrade/Colo,Airtel,IPRAN,30-Dec-22,Q4'22,BOQ Approved and Power Upgrade Completed,RFI Completed,NQA,Rollout Project Manager,0
478,IHS_CRR_0900A,UC-226783,PHC,Upgrade/Colo,MTN,NFE_Growth,29-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
479,IHS_OGN_1096A,CO-229203,Lagos,Upgrade/Colo,Airtel,2G,31-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,0,LAFRED ENGINEERING COMPANY LIMITED
480,IHS_OGN_1096A,UC-229227,Lagos,Upgrade/Colo,Airtel,3G,31-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
481,IHS_WAR_0022B,UC-227511,Asaba,Upgrade/Colo,MTN,L26,30-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
482,IHS_ANA_1232A,UC-227490,Asaba,Upgrade/Colo,MTN,L26,30-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
483,IHS_EDO_1236B,UC-227485,Asaba,Upgrade/Colo,MTN,L7,30-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
484,IHS_ANA_1269C,UC-227479,Asaba,Upgrade/Colo,MTN,L7,30-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
485,IHS_EDO_0982A,UC-227483,Asaba,Upgrade/Colo,MTN,L7,30-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
486,IHS_ANA_0866A,UC-196036,Asaba,Upgrade/Colo,MTN,L7,30-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
487,IHS_ANA_0866A,UC-182311,Asaba,Upgrade/Colo,MTN,L8,30-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
488,IHS_ANA_0866A,UC-227474,Asaba,Upgrade/Colo,MTN,L26,30-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
489,IHS_ANA_0920A,UC-184274,Asaba,Upgrade/Colo,MTN,L7,30-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
490,IHS_ANA_0920A,UC-101561,Asaba,Upgrade/Colo,MTN,L8,30-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,ACORIN LIMITED
491,IHS_ANA_0920A,UC-227475,Asaba,Upgrade/Colo,MTN,L26,30-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
492,IHS_ANA_1458C,UC-196095,Asaba,Upgrade/Colo,MTN,L7,30-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
493,IHS_ANA_1458C,UC-171277,Asaba,Upgrade/Colo,MTN,L8,30-Dec-22,Q4'22,RFI Failed,RFI Failed,RRM,Regional Rollout Manager,IHS
494,IHS_ANA_1458C,UC-227436,Asaba,Upgrade/Colo,MTN,L26,30-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
495,IHS_IMO_0859A,UC-198729,Enugu,Upgrade/Colo,MTN,L7,29-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,IHS
496,IHS_IMO_0859A,UC-110295,Enugu,Upgrade/Colo,MTN,L8,29-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,IHS
497,IHS_IMO_0859A,UC-227470,Enugu,Upgrade/Colo,MTN,L26,29-Dec-22,Q4'22,Civil Work Completed and Power Not Required,RFI Completed,RRM,Rollout Project Manager,IHS
498,IHS_RIV_0823A,UC-211616,PHC,Upgrade/Colo,MTN,L8,29-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
499,IHS_RIV_0823A,UC-227461,PHC,Upgrade/Colo,MTN,L18,29-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
500,IHS_RIV_0823A,UC-131067,PHC,Upgrade/Colo,MTN,L26,29-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,SNOWVIEW SUPPORT SERVICE LIMITED
501,IHS_RIV_0900A,UC-211621,PHC,Upgrade/Colo,MTN,L8,29-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
502,IHS_RIV_0900A,UC-227457,PHC,Upgrade/Colo,MTN,L18,29-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
